#,Entries,Last Submission UTC (Best − Last Submission),Score,Team Name  * in the money,slug,Δ1d,Δ1w,Δ5d
23.0,17.0,"Fri, 09 Sep 2016 18:32:40  (-27h)",0.992093,happycube,predicting-red-hat-business-value,,new,
24.0,11.0,"Mon, 05 Sep 2016 17:55:40",0.992066,( ͡° ͜ʖ ͡°),predicting-red-hat-business-value,,↓12,
25.0,71.0,"Fri, 09 Sep 2016 15:38:08",0.9920479999999999,steubk,predicting-red-hat-business-value,,↑9,
26.0,18.0,"Fri, 09 Sep 2016 01:07:27",0.9920469999999999,Oxbon  AMPires  jb,predicting-red-hat-business-value,,↓13,
27.0,19.0,"Fri, 09 Sep 2016 13:57:19  (-1.5h)",0.992032,Qingchen,predicting-red-hat-business-value,,new,
28.0,33.0,"Fri, 09 Sep 2016 06:29:11  (-40.1h)",0.9920209999999999,JK...,predicting-red-hat-business-value,,↑353,
29.0,22.0,"Fri, 09 Sep 2016 15:13:13",0.991994,Koontz  koontz  Medrr,predicting-red-hat-business-value,,↑325,
30.0,20.0,"Fri, 09 Sep 2016 15:01:08  (-1h)",0.991979,NimaShahbazi,predicting-red-hat-business-value,,new,
31.0,2.0,"Thu, 08 Sep 2016 22:11:58",0.9919620000000001,utility,predicting-red-hat-business-value,,new,
32.0,73.0,"Thu, 08 Sep 2016 19:03:17  (-0.4h)",0.991956,Laurae & Stefan & Mathurin  Mathurin Aché  El macho  Laurae,predicting-red-hat-business-value,,↓13,
33.0,45.0,"Fri, 09 Sep 2016 09:59:25",0.991906,<<<LEE>>>,predicting-red-hat-business-value,,↓17,
34.0,131.0,"Fri, 09 Sep 2016 20:32:57  (-35.8h)",0.991894,rh,predicting-red-hat-business-value,,↓3,
35.0,45.0,"Fri, 09 Sep 2016 20:48:00  (-24.2h)",0.9918799999999999,itdxer,predicting-red-hat-business-value,,↑23,
36.0,13.0,"Fri, 09 Sep 2016 13:33:00  (-1.8h)",0.9918790000000001,Tirchi Topi Waleh,predicting-red-hat-business-value,,↑6,
37.0,43.0,"Thu, 08 Sep 2016 10:10:48  (-6.2d)",0.991878,Sabine Matthys,predicting-red-hat-business-value,,↓22,
38.0,24.0,"Tue, 06 Sep 2016 08:46:38  (-9.4h)",0.9918629999999999,DanielPace,predicting-red-hat-business-value,,↑18,
39.0,92.0,"Fri, 09 Sep 2016 13:40:11  (-23.9h)",0.991856,Korovyev y su sombrero rojo  Panos  Alejandro Mosquera,predicting-red-hat-business-value,,↓19,
40.0,15.0,"Fri, 09 Sep 2016 19:22:08  (-2.7d)",0.9918309999999999,SRK,predicting-red-hat-business-value,,new,
41.0,57.0,"Fri, 09 Sep 2016 06:02:47  (-5.7d)",0.991827,Alexander Larko,predicting-red-hat-business-value,,↓20,
42.0,160.0,"Fri, 09 Sep 2016 14:37:45  (-1.5h)",0.991792,الحوت الأبيض,predicting-red-hat-business-value,,↓17,
43.0,51.0,"Thu, 08 Sep 2016 23:36:58  (-9.2d)",0.9917520000000001,yhat,predicting-red-hat-business-value,,↓21,
44.0,20.0,"Thu, 08 Sep 2016 06:06:02  (-2.9d)",0.991748,vlatituda,predicting-red-hat-business-value,,new,
45.0,77.0,"Wed, 07 Sep 2016 08:34:12  (-46.9h)",0.991748,mtiwari,predicting-red-hat-business-value,,↑34,
46.0,57.0,"Fri, 09 Sep 2016 21:13:18  (-15.7d)",0.9917450000000001,G & P & T  Gilberto Titericz Junior  Praveen Adepu  Tam T. Nguyen,predicting-red-hat-business-value,,↓23,
47.0,52.0,"Wed, 07 Sep 2016 00:14:53  (-7.3d)",0.991742,Russ Boucher,predicting-red-hat-business-value,,↓23,
48.0,34.0,"Thu, 08 Sep 2016 14:11:32  (-0.2h)",0.991741,poteman,predicting-red-hat-business-value,,↓7,
49.0,18.0,"Fri, 09 Sep 2016 17:18:02  (-18.4h)",0.991741,Computer says no,predicting-red-hat-business-value,,↓4,
50.0,33.0,"Fri, 09 Sep 2016 15:17:55  (-7.8d)",0.991735,Aleksey Kulikov,predicting-red-hat-business-value,,↓24,
51.0,82.0,"Fri, 09 Sep 2016 01:35:31  (-34.8h)",0.991732,Zach,predicting-red-hat-business-value,,↑10,
52.0,16.0,"Thu, 18 Aug 2016 16:27:45  (-42.9h)",0.9917239999999999,Daniel FG,predicting-red-hat-business-value,,↓24,
53.0,94.0,"Fri, 09 Sep 2016 15:33:54  (-3d)",0.9917229999999999,Analytics-In-Genes,predicting-red-hat-business-value,,↓24,
54.0,90.0,"Fri, 09 Sep 2016 14:46:46  (-25h)",0.991713,AI_JOE,predicting-red-hat-business-value,,↓4,
55.0,42.0,"Fri, 09 Sep 2016 21:06:54  (-24.4h)",0.9917100000000001,Justfor,predicting-red-hat-business-value,,↓22,
56.0,44.0,"Fri, 09 Sep 2016 06:38:09  (-5d)",0.9917090000000001,amchi,predicting-red-hat-business-value,,↑22,
57.0,26.0,"Thu, 08 Sep 2016 03:10:41",0.991699,russiancube,predicting-red-hat-business-value,,↑3,
58.0,41.0,"Tue, 06 Sep 2016 12:23:40  (-21.5h)",0.9916969999999999,yilisg,predicting-red-hat-business-value,,↓12,
59.0,48.0,"Fri, 09 Sep 2016 14:36:56  (-2.3d)",0.9916959999999999,bunterrrrr,predicting-red-hat-business-value,,↓7,
60.0,88.0,"Fri, 09 Sep 2016 07:51:23  (-0.1h)",0.9916870000000001,Lyalikov Artyom,predicting-red-hat-business-value,,↓20,
61.0,9.0,"Fri, 09 Sep 2016 12:16:03  (-5.5d)",0.991684,Massimiliano,predicting-red-hat-business-value,,↑156,
62.0,40.0,"Fri, 09 Sep 2016 13:41:55  (-18d)",0.991683,Odair Assis,predicting-red-hat-business-value,,↓30,
63.0,11.0,"Sat, 03 Sep 2016 20:39:01  (-21.7h)",0.9916799999999999,ekamioka,predicting-red-hat-business-value,,↓27,
64.0,8.0,"Fri, 09 Sep 2016 06:13:26  (-17.5h)",0.991675,Qikai,predicting-red-hat-business-value,,new,
65.0,34.0,"Tue, 06 Sep 2016 16:26:02  (-6.6d)",0.991675,Kirill Alshewski,predicting-red-hat-business-value,,↓30,
66.0,48.0,"Thu, 08 Sep 2016 15:49:51  (-29.5h)",0.99167,ArindamDutta,predicting-red-hat-business-value,,↑52,
67.0,16.0,"Fri, 09 Sep 2016 14:47:40  (-9.8h)",0.991669,Overdrive,predicting-red-hat-business-value,,↑322,
68.0,43.0,"Thu, 08 Sep 2016 23:47:40  (-35.1h)",0.991668,Philippe Lonjoux,predicting-red-hat-business-value,,↑48,
69.0,46.0,"Thu, 08 Sep 2016 23:43:05  (-13d)",0.991665,iris2007,predicting-red-hat-business-value,,↓32,
70.0,112.0,"Fri, 09 Sep 2016 13:22:01  (-9.2d)",0.9916590000000001,Dominik Lewy,predicting-red-hat-business-value,,↓32,
71.0,9.0,"Fri, 09 Sep 2016 08:58:47",0.991657,Fengari,predicting-red-hat-business-value,,new,
72.0,35.0,"Wed, 31 Aug 2016 14:47:01  (-47.9h)",0.991648,VjRK,predicting-red-hat-business-value,,↓33,
73.0,12.0,"Fri, 09 Sep 2016 16:13:48  (-2.2h)",0.9916459999999999,_JL_,predicting-red-hat-business-value,,new,
74.0,19.0,"Fri, 02 Sep 2016 12:44:28  (-3.9d)",0.9916459999999999,Juraj,predicting-red-hat-business-value,,↓31,
75.0,54.0,"Fri, 09 Sep 2016 21:32:32  (-13.2d)",0.9916379999999999,Cl_ev,predicting-red-hat-business-value,,↓31,
76.0,43.0,"Fri, 09 Sep 2016 21:53:27",0.9916159999999999,Humberto Brandão,predicting-red-hat-business-value,,↓28,
77.0,19.0,"Sat, 03 Sep 2016 19:05:38  (-31.3h)",0.9915940000000001,puyokw,predicting-red-hat-business-value,,↓30,
78.0,73.0,"Thu, 08 Sep 2016 17:07:21  (-36.1h)",0.991585,DataGeek,predicting-red-hat-business-value,,↓23,
79.0,59.0,"Fri, 09 Sep 2016 14:46:37  (-8.7h)",0.991566,(Half of) New Model Army,predicting-red-hat-business-value,,↓13,
80.0,5.0,"Wed, 07 Sep 2016 15:36:36",0.991566,Bisaria,predicting-red-hat-business-value,,↑939,
81.0,16.0,"Tue, 06 Sep 2016 00:07:45  (-10.2h)",0.991555,Red-HAT-007,predicting-red-hat-business-value,,new,
82.0,16.0,"Fri, 09 Sep 2016 08:50:15  (-0.1h)",0.991555,Evaristo Saa,predicting-red-hat-business-value,,new,
83.0,54.0,"Fri, 02 Sep 2016 14:13:50  (-13.6h)",0.991549,holdthedoor_  jtsulliv  ercamasn,predicting-red-hat-business-value,,↓34,
84.0,46.0,"Fri, 09 Sep 2016 14:15:33  (-2d)",0.991534,KevinPalm,predicting-red-hat-business-value,,↓31,
85.0,11.0,"Fri, 09 Sep 2016 07:36:08  (-4.4h)",0.991533,bestfitting,predicting-red-hat-business-value,,new,
86.0,127.0,"Fri, 09 Sep 2016 00:17:58  (-2.8d)",0.991525,Lenik Terenin,predicting-red-hat-business-value,,↑146,
87.0,6.0,"Fri, 09 Sep 2016 21:22:27  (-24.6h)",0.9915120000000001,Darragh,predicting-red-hat-business-value,,new,
88.0,28.0,"Fri, 09 Sep 2016 00:17:34  (-8d)",0.991509,NA  Nitin  TT,predicting-red-hat-business-value,,↓37,
89.0,15.0,"Thu, 08 Sep 2016 15:33:44",0.991492,Behrang,predicting-red-hat-business-value,,↓32,
90.0,51.0,"Wed, 07 Sep 2016 10:23:47  (-2.4d)",0.991491,deadmau,predicting-red-hat-business-value,,↑104,
91.0,22.0,"Fri, 09 Sep 2016 12:25:28  (-16.1d)",0.99149,Norman Secord,predicting-red-hat-business-value,,↓37,
92.0,62.0,"Fri, 09 Sep 2016 18:41:27  (-8.3h)",0.991476,alijs,predicting-red-hat-business-value,,↓25,
93.0,85.0,"Fri, 09 Sep 2016 21:18:35",0.9914649999999999,Kevin Kirchhoff  Kevin Kirchhoff  QuincyWofford  PranavBahl,predicting-red-hat-business-value,,↓24,
94.0,23.0,"Fri, 09 Sep 2016 17:55:07  (-42.6h)",0.9914379999999999,Mike Kim,predicting-red-hat-business-value,,↑598,
95.0,35.0,"Fri, 09 Sep 2016 18:11:21  (-2.8d)",0.9914379999999999,endorphin,predicting-red-hat-business-value,,new,
96.0,79.0,"Sat, 03 Sep 2016 12:43:50  (-17.4d)",0.9914209999999999,Epilogue,predicting-red-hat-business-value,,↓37,
97.0,32.0,"Thu, 08 Sep 2016 12:44:31  (-6.6h)",0.9914059999999999,Keiku,predicting-red-hat-business-value,,↓21,
98.0,15.0,"Wed, 07 Sep 2016 21:21:54  (-30.3h)",0.991402,Alexander D'yakonov,predicting-red-hat-business-value,,↑548,
99.0,57.0,"Thu, 08 Sep 2016 08:42:59  (-15.5d)",0.9913930000000001,Elena Cuoco,predicting-red-hat-business-value,,↓36,
100.0,62.0,"Fri, 09 Sep 2016 07:54:58  (-0.7h)",0.991382,Stefan Huber,predicting-red-hat-business-value,,↓35,
101.0,12.0,"Tue, 06 Sep 2016 12:48:35  (-0.8h)",0.9913690000000001,mANDy,predicting-red-hat-business-value,,↓37,
102.0,24.0,"Fri, 09 Sep 2016 10:55:32",0.9913620000000001,Black Sabbath,predicting-red-hat-business-value,,↑239,
103.0,11.0,"Fri, 09 Sep 2016 17:46:22",0.991351,vopani,predicting-red-hat-business-value,,new,
104.0,24.0,"Fri, 09 Sep 2016 03:48:36  (-24.2h)",0.9913190000000001,ecocarlisle,predicting-red-hat-business-value,,↑568,
105.0,83.0,"Fri, 09 Sep 2016 10:55:43  (-15d)",0.991315,ZFTurbo,predicting-red-hat-business-value,,↓37,
106.0,25.0,"Sun, 04 Sep 2016 13:22:14  (-8.8h)",0.99131,Giuseppe Casalicchio,predicting-red-hat-business-value,,↓23,
107.0,68.0,"Fri, 09 Sep 2016 03:38:01  (-3d)",0.991294,loweew,predicting-red-hat-business-value,,↑3,
108.0,26.0,"Thu, 08 Sep 2016 20:51:34  (-39.9h)",0.99129,PBR,predicting-red-hat-business-value,,↑88,
109.0,58.0,"Fri, 09 Sep 2016 20:55:07  (-8.3d)",0.991287,Aindriú,predicting-red-hat-business-value,,↓39,
110.0,38.0,"Thu, 08 Sep 2016 05:23:31",0.9912850000000001,Janos,predicting-red-hat-business-value,,↑51,
111.0,65.0,"Fri, 09 Sep 2016 12:45:10  (-6.4d)",0.991283,DavidGbodiOdaibo,predicting-red-hat-business-value,,↓38,
112.0,49.0,"Fri, 09 Sep 2016 20:47:22  (-3d)",0.9912790000000001,Glaudson Ocampos,predicting-red-hat-business-value,,↑111,
113.0,17.0,"Fri, 09 Sep 2016 03:10:06  (-10d)",0.991274,Nirmal Kolhe,predicting-red-hat-business-value,,↓42,
114.0,5.0,"Mon, 22 Aug 2016 07:13:59",0.9912569999999999,lekshman ramesh,predicting-red-hat-business-value,,↓42,
115.0,5.0,"Fri, 09 Sep 2016 06:33:55",0.991252,longdonjack,predicting-red-hat-business-value,,new,
116.0,38.0,"Wed, 31 Aug 2016 02:19:52  (-3.4h)",0.99124,MCOC,predicting-red-hat-business-value,,↓42,
117.0,27.0,"Sat, 20 Aug 2016 13:57:33  (-8.1d)",0.991239,Dodo 2.0,predicting-red-hat-business-value,,↓42,
118.0,34.0,"Thu, 08 Sep 2016 23:45:47  (-4h)",0.9912280000000001,brassmonkey,predicting-red-hat-business-value,,↓41,
119.0,23.0,"Wed, 07 Sep 2016 02:04:08  (-32.2h)",0.9911969999999999,cactusplants,predicting-red-hat-business-value,,↑85,
120.0,12.0,"Tue, 06 Sep 2016 00:11:13  (-19.2h)",0.991188,mndrake,predicting-red-hat-business-value,,↓36,
121.0,19.0,"Mon, 22 Aug 2016 06:03:42",0.991186,Ending,predicting-red-hat-business-value,,↓40,
122.0,55.0,"Mon, 05 Sep 2016 22:03:04  (-5.2d)",0.9911840000000001,the1owl / FX Analytics  the1owl  FX Analytics,predicting-red-hat-business-value,,↓40,
123.0,14.0,"Fri, 09 Sep 2016 14:02:23  (-42.8h)",0.991183,Bishwarup B,predicting-red-hat-business-value,,↑157,
124.0,54.0,"Fri, 09 Sep 2016 11:06:25  (-1.9h)",0.9911700000000001,Ouranos,predicting-red-hat-business-value,,↓30,
125.0,18.0,"Fri, 09 Sep 2016 04:10:50  (-2.2d)",0.9911690000000001,gmobaz,predicting-red-hat-business-value,,new,
126.0,87.0,"Wed, 07 Sep 2016 14:11:54  (-6.6d)",0.9911629999999999,Misfyre,predicting-red-hat-business-value,,↓41,
127.0,29.0,"Wed, 07 Sep 2016 17:12:36",0.9911610000000001,Patrick Chan,predicting-red-hat-business-value,,↓32,
128.0,34.0,"Fri, 09 Sep 2016 02:37:40",0.991157,HenryVu,predicting-red-hat-business-value,,↑35,
129.0,21.0,"Fri, 09 Sep 2016 02:46:26  (-0h)",0.9911459999999999,Wenlong Shen,predicting-red-hat-business-value,,↓36,
130.0,151.0,"Fri, 09 Sep 2016 07:31:20  (-16d)",0.991142,Scirpus,predicting-red-hat-business-value,,↓43,
131.0,30.0,"Fri, 02 Sep 2016 09:52:12",0.9911409999999999,clustifier,predicting-red-hat-business-value,,↓43,
132.0,12.0,"Wed, 24 Aug 2016 08:01:20  (-8.5d)",0.991134,rêd heat,predicting-red-hat-business-value,,↓43,
133.0,30.0,"Mon, 22 Aug 2016 22:29:14  (-5.9d)",0.991133,Phillip Gurbacki,predicting-red-hat-business-value,,↓43,
134.0,40.0,"Wed, 07 Sep 2016 14:23:45",0.991116,Thomas SELECK,predicting-red-hat-business-value,,↓43,
135.0,36.0,"Fri, 09 Sep 2016 13:59:41  (-4.9h)",0.9911139999999999,KazAnova,predicting-red-hat-business-value,,↑538,
136.0,35.0,"Mon, 29 Aug 2016 13:41:47  (-0.2h)",0.99111,MichelJ,predicting-red-hat-business-value,,↓44,
137.0,95.0,"Mon, 05 Sep 2016 07:52:58  (-0.1h)",0.991094,Dimitris Leventis,predicting-red-hat-business-value,,↓41,
138.0,4.0,"Sat, 20 Aug 2016 15:50:48  (-2d)",0.991083,iinnaa,predicting-red-hat-business-value,,↓41,
139.0,22.0,"Thu, 08 Sep 2016 00:30:15  (-17.3d)",0.9910760000000001,ash hafez,predicting-red-hat-business-value,,↓41,
140.0,23.0,"Thu, 08 Sep 2016 23:00:51  (-29.2h)",0.991072,mlandry,predicting-red-hat-business-value,,↑218,
141.0,41.0,"Fri, 09 Sep 2016 12:55:15  (-0.1h)",0.991072,Alexander Semenov,predicting-red-hat-business-value,,↑182,
142.0,59.0,"Fri, 09 Sep 2016 15:18:01  (-18h)",0.991072,Paulo Pinto,predicting-red-hat-business-value,,↓23,
143.0,31.0,"Fri, 09 Sep 2016 11:02:33  (-41.5h)",0.9910709999999999,Rodrigo Domingos + Bruno Campos,predicting-red-hat-business-value,,↑1206,
144.0,6.0,"Thu, 08 Sep 2016 09:38:25",0.9910690000000001,feynman,predicting-red-hat-business-value,,↑199,
145.0,39.0,"Mon, 29 Aug 2016 12:33:25  (-4.1d)",0.9910549999999999,Watts,predicting-red-hat-business-value,,↓46,
146.0,36.0,"Wed, 07 Sep 2016 07:50:45  (-16.8h)",0.9910530000000001,The other half (New Model Army),predicting-red-hat-business-value,,↓29,
147.0,2.0,"Fri, 09 Sep 2016 14:13:00  (-23.6h)",0.991041,Faron,predicting-red-hat-business-value,,new,
148.0,47.0,"Thu, 08 Sep 2016 20:43:54",0.991041,anchalgupta,predicting-red-hat-business-value,,↑52,
149.0,56.0,"Mon, 22 Aug 2016 21:50:16  (-16.9h)",0.9910389999999999,wajz,predicting-red-hat-business-value,,↓49,
150.0,18.0,"Fri, 09 Sep 2016 20:29:18  (-7.1d)",0.991035,mrjim,predicting-red-hat-business-value,,↓49,
151.0,12.0,"Fri, 09 Sep 2016 10:28:14  (-0.2h)",0.991032,Bhambhani Mohan,predicting-red-hat-business-value,,↑6,
152.0,76.0,"Thu, 08 Sep 2016 09:33:21  (-4d)",0.991028,Maciej,predicting-red-hat-business-value,,↓48,
153.0,70.0,"Tue, 06 Sep 2016 10:40:14  (-6.1d)",0.9910260000000001,El rojo y el negro  Lucien de Rubempre  Bill,predicting-red-hat-business-value,,↓51,
154.0,4.0,"Sun, 28 Aug 2016 20:30:10",0.9910200000000001,ChipMonkey,predicting-red-hat-business-value,,↓51,
155.0,2.0,"Fri, 12 Aug 2016 00:36:38",0.9910180000000001,idle_speculation,predicting-red-hat-business-value,,↓50,
156.0,29.0,"Fri, 09 Sep 2016 21:28:54  (-6.4d)",0.991015,Charles,predicting-red-hat-business-value,,↑42,
157.0,62.0,"Mon, 05 Sep 2016 23:17:12  (-3d)",0.9910129999999999,randomgp,predicting-red-hat-business-value,,↓48,
158.0,30.0,"Thu, 08 Sep 2016 23:02:39  (-8.9d)",0.991008,AUC,predicting-red-hat-business-value,,↓52,
159.0,6.0,"Fri, 09 Sep 2016 12:15:51  (-4.2h)",0.991008,pekinois,predicting-red-hat-business-value,,new,
160.0,44.0,"Thu, 08 Sep 2016 23:19:00  (-7.4d)",0.991007,qianqian,predicting-red-hat-business-value,,↓53,
161.0,25.0,"Fri, 09 Sep 2016 15:08:58  (-8.5h)",0.9910059999999999,Silogram,predicting-red-hat-business-value,,↑66,
162.0,22.0,"Mon, 22 Aug 2016 09:23:08  (-12h)",0.9910049999999999,Artem,predicting-red-hat-business-value,,↓54,
163.0,28.0,"Wed, 17 Aug 2016 20:25:33  (-5.3d)",0.991002,dduck90,predicting-red-hat-business-value,,↓52,
164.0,32.0,"Fri, 09 Sep 2016 11:24:14  (-2.2d)",0.991002,Mohd Shadab Alam,predicting-red-hat-business-value,,↓38,
165.0,44.0,"Thu, 08 Sep 2016 18:44:49  (-1.3h)",0.990994,Parthiban Gowthaman,predicting-red-hat-business-value,,↑53,
166.0,49.0,"Fri, 09 Sep 2016 18:22:52  (-2.9d)",0.9909879999999999,Leandro dos Santos Coelho,predicting-red-hat-business-value,,↑2,
167.0,18.0,"Fri, 09 Sep 2016 21:47:20  (-1.3h)",0.990986,Zongyi LIU,predicting-red-hat-business-value,,↑383,
168.0,47.0,"Thu, 08 Sep 2016 15:43:05  (-24.1h)",0.990986,SarthakYadav,predicting-red-hat-business-value,,↓41,
169.0,29.0,"Sat, 27 Aug 2016 13:21:41  (-3.7d)",0.9909819999999999,Ashish Airon,predicting-red-hat-business-value,,↓57,
170.0,16.0,"Wed, 17 Aug 2016 14:32:46  (-2.3h)",0.99098,Edwin Graham,predicting-red-hat-business-value,,↓57,
171.0,73.0,"Fri, 09 Sep 2016 17:00:06  (-24.2d)",0.990978,Bojan Tunguz,predicting-red-hat-business-value,,↓57,
172.0,11.0,"Fri, 09 Sep 2016 05:31:31  (-22.1h)",0.990978,AiO,predicting-red-hat-business-value,,new,
173.0,13.0,"Tue, 06 Sep 2016 20:29:10",0.990976,JohnM,predicting-red-hat-business-value,,↑1,
174.0,21.0,"Fri, 02 Sep 2016 09:18:36  (-31.9h)",0.990973,Manel,predicting-red-hat-business-value,,↓59,
175.0,6.0,"Wed, 07 Sep 2016 08:03:37",0.9909709999999999,Evgeny Bazarov,predicting-red-hat-business-value,,new,
176.0,13.0,"Thu, 08 Sep 2016 07:45:02  (-22.7h)",0.9909709999999999,Anjana Agrawal,predicting-red-hat-business-value,,↑514,
177.0,10.0,"Fri, 09 Sep 2016 00:31:14  (-2.8d)",0.9909709999999999,Martin Stein,predicting-red-hat-business-value,,new,
178.0,5.0,"Thu, 08 Sep 2016 10:50:34  (-2h)",0.9909709999999999,Inspector Clouseau Data Investigation Team,predicting-red-hat-business-value,,new,
179.0,37.0,"Fri, 09 Sep 2016 13:44:27  (-2.9d)",0.9909709999999999,Michael Pawlus,predicting-red-hat-business-value,,↓59,
180.0,11.0,"Mon, 05 Sep 2016 22:05:35",0.9909709999999999,NikhilHegde,predicting-red-hat-business-value,,↓10,
181.0,3.0,"Tue, 06 Sep 2016 00:04:08",0.9909709999999999,Jeramy,predicting-red-hat-business-value,,↑5,
182.0,40.0,"Tue, 06 Sep 2016 00:29:59",0.9909709999999999,kaggleMania,predicting-red-hat-business-value,,↓43,
183.0,55.0,"Tue, 06 Sep 2016 01:28:22  (-0.3h)",0.9909709999999999,Rob0,predicting-red-hat-business-value,,↓32,
184.0,5.0,"Tue, 06 Sep 2016 02:19:01",0.9909709999999999,Kevin Diaz,predicting-red-hat-business-value,,↑586,
185.0,3.0,"Tue, 06 Sep 2016 02:36:47",0.9909709999999999,Animesh Ranjan,predicting-red-hat-business-value,,new,
186.0,2.0,"Tue, 06 Sep 2016 02:52:41",0.9909709999999999,data_sniper,predicting-red-hat-business-value,,new,
187.0,22.0,"Fri, 09 Sep 2016 12:19:52  (-3.4d)",0.9909709999999999,Ankit Rathi,predicting-red-hat-business-value,,—,
188.0,25.0,"Fri, 09 Sep 2016 18:57:26  (-3.7d)",0.9909709999999999,Wei Wu,predicting-red-hat-business-value,,↓64,
189.0,44.0,"Fri, 09 Sep 2016 07:44:23  (-3.2d)",0.9909709999999999,restless,predicting-red-hat-business-value,,↓29,
190.0,7.0,"Tue, 06 Sep 2016 04:12:21",0.9909709999999999,Lawrence Chernin,predicting-red-hat-business-value,,↓11,
191.0,1.0,"Tue, 06 Sep 2016 04:22:56",0.9909709999999999,lzwhite,predicting-red-hat-business-value,,new,
192.0,4.0,"Tue, 06 Sep 2016 05:11:22",0.9909709999999999,Krish Mahajan,predicting-red-hat-business-value,,new,
193.0,1.0,"Tue, 06 Sep 2016 05:24:04",0.9909709999999999,Chandan Verma,predicting-red-hat-business-value,,new,
194.0,11.0,"Tue, 06 Sep 2016 05:54:09",0.9909709999999999,Artimur  Aganov  Shaykhutdinov Timur,predicting-red-hat-business-value,,↓39,
195.0,18.0,"Tue, 06 Sep 2016 06:07:35",0.9909709999999999,Nilotpal Sinha,predicting-red-hat-business-value,,↓39,
196.0,2.0,"Tue, 06 Sep 2016 06:21:00",0.9909709999999999,thedoctor46,predicting-red-hat-business-value,,↑993,
197.0,28.0,"Fri, 09 Sep 2016 03:36:42  (-2.9d)",0.9909709999999999,Matthias Coste,predicting-red-hat-business-value,,↓51,
198.0,20.0,"Thu, 08 Sep 2016 12:29:00  (-2.2d)",0.9909709999999999,(><),predicting-red-hat-business-value,,↓55,
199.0,12.0,"Fri, 09 Sep 2016 19:17:40  (-3.5d)",0.9909709999999999,Sergei Bernadtckii,predicting-red-hat-business-value,,new,
200.0,66.0,"Thu, 08 Sep 2016 09:35:43  (-2.1d)",0.9909709999999999,gavrand,predicting-red-hat-business-value,,↓36,
201.0,26.0,"Tue, 06 Sep 2016 09:17:41",0.9909709999999999,JuGL,predicting-red-hat-business-value,,↓64,
